id,title,card_type,trait,mp,effect,strength,intelligence,special,,image_url
C1-JL,Alfred Pennyworth - Butler,Character,Hero,1,PUSH: Place this card on top of its owner's deck to search your deck for a Character and place it in your hand.,1,,,,http://metaxdb.com/images/C1-JL.jpg
C2-JL,Amanda Waller - The Wall,Character,Hero,4,CONSTANT: Your Villain Characters may Link to a Team Attack for 0 MP on the turn they enter play.,3,,5,,http://metaxdb.com/images/C2-JL.jpg
C3-JL,Black Canary - Dinah Lance,Character,Hero,2,PLAY: Negate the effects of target Character until the end of your next turn.,5,3,,,http://metaxdb.com/images/C3-JL.jpg
C4-JL,Hawkgirl - Gravity-Defying Nth,Character,Hero,3,CONSTANT: Negate any effects that would move a card in a discard pile to a different zone.,5,,3,,http://metaxdb.com/images/C4-JL.jpg
C5-JL,Deadman - Boston Brand,Character,Hero,2,PLAY: Place a Battle Card from your discard pile into your hand.,2,,5,,http://metaxdb.com/images/C5-JL.jpg
C6-JL,Firestorm - Nuclear Man,Character,Hero,2,PUSH: KO this card to KO target Character.,3,,6,,http://metaxdb.com/images/C6-JL.jpg
C7-JL,Hawkman - Carter Hall,Character,Hero,3,PLAY: Each player draws 2 cards.,5,3,,,http://metaxdb.com/images/C7-JL.jpg
C8-JL,Martian Manhunter - J'onn J'onzz,Character,Hero,3,CONSTANT: This card may use any Battle Card when defending.,5,5,,,http://metaxdb.com/images/C8-JL.jpg
C9-JL,Red Tornado - John Smith,Character,Hero,3,"CONSTANT: Whenever this card gains a VP, draw 2 cards.",,4,5,,http://metaxdb.com/images/C9-JL.jpg
C10-JL,Starfire - Koriand'r,Character,Hero,1,PLAY: Attach a Battle Card with a rank of 7 from your discard pile to target Character.,,4,6,,http://metaxdb.com/images/C10-JL.jpg
C11-JL,Superboy - Kon-El,Character,Hero,3,"PLAY: Choose an attached Battle Card, then return it to its owner's hand or discard it.",6,,5,,http://metaxdb.com/images/C11-JL.jpg
C12-JL,Mister Freeze - Victor Fries,Character,Villain,3,CONSTANT: Characters with a rank of 7 have their effects negated and cannot defend.,4,,5,,http://metaxdb.com/images/C12-JL.jpg
C13-JL,Bane - Professional Criminal,Character,Villain,3,PLAY: Discard the top 2 cards of your opponent's deck.,6,5,,,http://metaxdb.com/images/C13-JL.jpg
C14-JL,Scarecrow - Jonathan Crane,Character,Villain,2,"CONSTANT: Whenever this card pushes to attack, your opponent loses 2 MP.",,3,5,,http://metaxdb.com/images/C14-JL.jpg
C15-JL,General Zod - Dru-Zod,Character,Villain,2,"CONSTANT: While you control only Villain Characters, your opponent's ""constant"" effects are negated.",6,,3,,http://metaxdb.com/images/C15-JL.jpg
C16-JL,Poison Ivy - Pamela Isley,Character,Villain,2,"CONSTANT: At the start of your turn, gain 2 MP.",,3,5,,http://metaxdb.com/images/C16-JL.jpg
C17-JL,Ra's Al Ghul - The Demon's Head,Character,Villain,0,PLAY: You may play a Character from your discard pile with a maximum rank of 5 or less.,3,6,,,http://metaxdb.com/images/C17-JL.jpg
C18-JL,Absence of Fear,Event,,-5,"Your opponent shuffles his or her hand into his or her deck, then draws 5 cards.",,,,,http://metaxdb.com/images/C18-JL.jpg
C19-JL,Leap Into Action,Event,,-2,Search your deck for a Hero Character with a rank of 7 or a Battle Card with a rank of 7 and place it in your hand.,,,,,http://metaxdb.com/images/C19-JL.jpg
C20-JL,Birds of a Feather,Event,,-1,Each player draws 2 cards.,,,,,http://metaxdb.com/images/C20-JL.jpg
